Ticker,Multiplier,Tick Size,Exchange Fee,Commission,NFA Fee,Settlement,Sector,Common Name
ES,50,0.25,1.18,0.85,0.02,15:00,IND,E-Mini S&P 500
CL,1000,0.01,1.5,0.85,0.02,13:30,ENG,WTI Crude Oil
TF,50,0.1,1.18,0.85,0.02,15:00,IND,E-Mini Russell 2000
VX,1000,0.05,1.44,0.85,0.02,15:30,,VIX
EC,125000,5.00E-05,1.6,0.85,0.02,14:00,CUR,Euro
BP,62500,0.0001,1.6,0.85,0.02,14:00,CUR,British Pound
NQ,20,0.25,1.18,0.85,0.02,15:00,IND,E-Mini NASDAQ
NG,10000,0.001,1.5,0.85,0.02,13:30,ENG,Natural Gas
ZB,1000,0.03125,0.8,0.85,0.02,14:00,BND,30-Year Bonds
GC,100,0.1,1.5,0.85,0.02,12:30,MET,Gold
SF,125000,0.0001,1.6,0.85,0.02,14:00,CUR,Swiss Franc
JY,125000,5.00E-05,1.6,0.85,0.02,14:00,CUR,Japanese Yen
ZN,1000,0.015625,0.75,0.85,0.02,14:00,BND,10-Year Notes
SI,50,0.5,1.5,0.85,0.02,12:25,MET,Silver
ZC,50,0.25,1.95,0.85,0.02,13:15,AGG,Corn
ZS,50,0.25,1.95,0.85,0.02,13:15,AGG,Soybeans
ZW,50,0.25,1.95,0.85,0.02,13:15,AGG,Wheat
ZL,600,0.01,1.95,0.85,0.02,13:15,AGG,Soybean Oil
ZM,100,0.1,1.95,0.85,0.02,13:15,AGG,Soybean Meal
KW,50,0.25,1.95,0.85,0.02,13:15,AGG,Kansas City Wheat
DY,25,0.5,0.758,0.85,0.02,,IND,
EX,10,1,0.4505,0.85,0.02,,IND,
NK,5,1,1.994,0.85,0.02,15:15,IND,Nikkei 225
AD,100000,0.0001,1.6,0.85,0.02,14:00,CUR,Australian Dollar
CD,100000,5.00E-05,1.6,0.85,0.02,14:00,CUR,Canadian Dollar
MP,500000,1.00E-05,1.6,0.85,0.02,14:00,CUR,Mexican Peso
CC,10,1,2.1,0.85,0.02,10:50,AGG,Cocoa
CT,500,0.01,2.1,0.85,0.02,13:15,AGG,Cotton
KC,375,0.05,2.1,0.85,0.02,12:25,AGG,Coffee
SB,1120,0.01,2.1,0.85,0.02,11:55,AGG,Sugar
LC,400,0.025,2.03,0.85,0.02,13:00,AGG,Live Cattle
LH,400,0.025,2.03,0.85,0.02,13:00,AGG,Lean Hogs
PL,50,0.1,1.5,0.85,0.02,12:05,MET,Platinum
PA,100,0.05,1.5,0.85,0.02,12:00,MET,Palladium
HG,250,0.05,1.5,0.85,0.02,12:00,MET,Copper
RB,42000,0.0001,1.5,0.85,0.02,13:30,ENG,RBOB Gasoline
HO,42000,0.0001,1.5,0.85,0.02,13:30,ENG,Heating Oil
BC,1000,0.01,1.5,0.85,0.02,13:30,ENG,Brent Crude
YM,5,1,1.18,0.85,0.02,15:00,IND,E-Mini Dow Jones Industrial Average
ED,2500,0.005,1.25,0.85,0.02,14:00,BND,Eurodollar
ZF,1000,0.0078125,0.65,0.85,0.02,14:00,BND,5-Year Treasury Note
ZT,2000,0.0078125,0.65,0.85,0.02,14:00,BND,2-Year Treasury Note
Any Stock,1,0.01,0,0,0,,,
